manga_id,tag_slug
422339,absorption
422176,absorption
421569,absorption
421131,absorption
417612,absorption
417379,absorption
416812,absorption
414598,absorption
414428,absorption
414217,absorption
413904,absorption
413244,absorption
413139,absorption
413097,absorption
411171,absorption
410941,absorption
409995,absorption
409994,absorption
408764,absorption
408652,absorption
408302,absorption
405831,absorption
405593,absorption
404805,absorption
404804,absorption
403584,absorption
403029,absorption
402686,absorption
402681,absorption
401805,absorption
401711,absorption
401378,absorption
399781,absorption
398057,absorption
397222,absorption
397026,absorption
395682,absorption
393744,absorption
392120,absorption
391020,absorption
390893,absorption
390738,absorption
390091,absorption
389952,absorption
389485,absorption
388326,absorption
387192,absorption
386392,absorption
385514,absorption
385513,absorption
385510,absorption
385054,absorption
384700,absorption
384338,absorption
384175,absorption
384061,absorption
383265,absorption
382578,absorption
382525,absorption
381597,absorption
380854,absorption
380727,absorption
378269,absorption
376348,absorption
375466,absorption
373891,absorption
373195,absorption
372852,absorption
372564,absorption
372532,absorption
371898,absorption
371375,absorption
370152,absorption
369570,absorption
369544,absorption
369534,absorption
367878,absorption
367253,absorption
367102,absorption
366507,absorption
366411,absorption
365249,absorption
365027,absorption
363333,absorption
362802,absorption
362179,absorption
361679,absorption
361440,absorption
360577,absorption
360405,absorption
360143,absorption
359231,absorption
358270,absorption
358203,absorption
358114,absorption
357465,absorption
357448,absorption
356265,absorption
355628,absorption
355543,absorption
354274,absorption
353547,absorption
353330,absorption
351842,absorption
351174,absorption
351173,absorption
349385,absorption
348544,absorption
348471,absorption
347796,absorption
347407,absorption
345833,absorption
345566,absorption
345447,absorption
345251,absorption
345091,absorption
344896,absorption
342795,absorption
342066,absorption
341752,absorption
341572,absorption
340025,absorption
339184,absorption
338985,absorption
338639,absorption
338522,absorption
336626,absorption
335042,absorption
333881,absorption
333878,absorption
333570,absorption
330079,absorption
329774,absorption
329658,absorption
328692,absorption
326024,absorption
325737,absorption
325708,absorption
325676,absorption
324977,absorption
323737,absorption
323407,absorption
322854,absorption
322701,absorption
321045,absorption
320745,absorption
319870,absorption
319076,absorption
318771,absorption
318661,absorption
318331,absorption
318035,absorption
317966,absorption
317687,absorption
317615,absorption
317103,absorption
316879,absorption
316722,absorption
316657,absorption
316246,absorption
316020,absorption
315924,absorption
315873,absorption
315763,absorption
315522,absorption
314472,absorption
314329,absorption
314326,absorption
314117,absorption
313912,absorption
313892,absorption
313748,absorption
313390,absorption
312696,absorption
312283,absorption
312196,absorption
307317,absorption
307230,absorption
307026,absorption
307025,absorption
306430,absorption
306336,absorption
305554,absorption
305031,absorption
303075,absorption
301973,absorption
298702,absorption
296558,absorption
293883,absorption
293514,absorption
293411,absorption
292768,absorption
292419,absorption
291903,absorption
291761,absorption
291321,absorption
291316,absorption
291225,absorption
290715,absorption
289315,absorption
287734,absorption
287396,absorption
286438,absorption
286383,absorption
286380,absorption
286357,absorption
284765,absorption
284316,absorption
284030,absorption
283987,absorption
283131,absorption
282960,absorption
282656,absorption
280895,absorption
276719,absorption
276694,absorption
274322,absorption
273996,absorption
272925,absorption
272513,absorption
269462,absorption
267576,absorption
266802,absorption
266738,absorption
265182,absorption
265043,absorption
261817,absorption
261553,absorption
260759,absorption
256023,absorption
256010,absorption
255913,absorption
255611,absorption
254483,absorption
253964,absorption
253083,absorption
251625,absorption
251017,absorption
250325,absorption
250259,absorption
250129,absorption
248694,absorption
248456,absorption
247196,absorption
238007,absorption
234942,absorption
234854,absorption
234810,absorption
230165,absorption
230097,absorption
229987,absorption
228937,absorption
224235,absorption
221738,absorption
217972,absorption
217636,absorption
213709,absorption
207406,absorption
205983,absorption
202866,absorption
199682,absorption
198933,absorption
197620,absorption
197254,absorption
195576,absorption
194676,absorption
191708,absorption
190227,absorption
190217,absorption
189774,absorption
187979,absorption
187593,absorption
187490,absorption
184843,absorption
184768,absorption
184574,absorption
183955,absorption
183226,absorption
181495,absorption
181195,absorption
176775,absorption
169190,absorption
163255,absorption
162930,absorption
160947,absorption
160291,absorption
159380,absorption
158274,absorption
156039,absorption
152619,absorption
152329,absorption
151279,absorption
143920,absorption
141469,absorption
139627,absorption
